game_name,min_cpu,min_gpu,min_ram,min_dx,min_os,min_sto,min_net,rec_cpu,rec_gpu,rec_ram,rec_dx,rec_os,rec_sto,rec_net
Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,(Any),(Any),2 GB RAM,,Windows XP or later,1 GB available space,,,,,,,,
Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement,(Any),DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities,2 GB RAM,,Windows XP SP2+,2 GB available space,,,,,,,,
Aegis Defenders,Intel Core 2 Duo E5200,GeForce 9800GTX+ (1GB),4 GB RAM,Version 10,Windows 7,2 GB available space,,Intel Core i5,GeForce GTX 560,8 GB RAM,Version 11,Windows 10,2 GB available space,
Aeon Drive,Intel Core i3,Intel HD 4000,2000 MB RAM,Version 10,"Windows 10, 64-bit",500 MB available space,,,,,,,,
Aeon Must Die!,AMD FX-4300 / Intel Core i3-4130,"1 GB VRAM, AMD Radeon HD 7770 / NVIDIA GeForce GTX 560",4 GB RAM,,Windows 10 (64-bit),,,AMD FX-8320 / Intel Core i5-4690K,"2 GB VRAM, AMD Radeon R9 380 / NVIDIA GeForce GTX 1050 Ti",8 GB RAM,,Windows 10 (64-bit),,
AER Memories of Old,3 GHz Dual Core CPU,"GeForce GTX 560, AMD HD 6870",4 GB RAM,Version 11,"Win 7, 8, 10, 64bit",3 GB available space,,3 GHz Quad Core CPU,"GeForce GTX 660TI, AMD HD 7800 series",4 GB RAM,Version 11,"Win 7, 8, 10, 64bit",3 GB available space,
AereA,"Intel® Core™ 2 Duo 2,6Ghz / AMD Athlon™ 64 X2 3800+",NVIDIA® GeForce® GTX 560 Ti / ATI® Radeon™ HD 7850 or better,4 GB RAM,Version 9.0c,Windows Vista (32bit),4 GB available space,Broadband Internet connection,Intel® Core™ i5 4th Gen / AMD A10 series or better,NVIDIA® GeForce® GTX 760 / ATI® Radeon™ R9 M295X or better,8 GB RAM,Version 11,Windows 7 (64bit) or higher,4 GB available space,Broadband Internet connection
AEW: Fight Forever,Intel Core i5-3550 / AMD FX 8150 (AVX - Compatible processor),"GeForce GTX 1060 / Radeon RX 480 / Intel® Arc™ A380 Graphics, at least 4 GB Video Memory",8 GB RAM,Version 12,Windows® 10 64 bit,25 GB available space,,Intel i7-4790 / AMD FX 8350 (AVX - Compatible processor),"GeForce GTX 1070 / Radeon RX 580 / Intel® Arc™ A770 Graphics, at least 6 GB Video Memory",16 GB RAM,Version 12,Windows 10 64-bit,25 GB available space,
Afrika Korps vs Desert Rats,"Pentium III, 1 GHz","32MB, DirectX 8.0 compatible videocard",256 MB,DirectX 8.0,Win 98/2000/XP/ME,"1,5 GB free space",TCP/IP LAN vagy Internet hálózati játékhoz,"Pentium IV, 1.4GHz","64MB, DirectX 9.0 compatible videocard",512 MB,DirectX 9.0,Win 98/2000/XP/ME,"1,5 GB free space",TCP/IP LAN vagy Internet hálózati játékhoz
Afro Samurai 2: Revenge of Kuma,2 GHz processor,"Intel HD3000, Nvidia GeForce GTX550 or equivalent",2 GB RAM,Version 11,Windows 7,,,3 GHz processor,NVIDIA® GeForce® GTX 650 ti 2GB ram or or ATI™ Radeon™ HD 6XXX or higher,3 GB RAM,Version 11,Windows 7,,
After the Fall,Intel i5-7500 / Ryzen 5 1600 equivalent or greater,NVIDIA GTX 1060 / RX 580 equivalent or greater,12 GB RAM,Version 11,Windows 10 - 64 bit,,Broadband Internet connection,,,,,,,
After Us,Intel Core i5-8400 or AMD Ryzen 3 3100,GeForce GTX 1050 Ti or GeForce GTX 960 or Intel Arc A750 or AMD Radeon RX 380 X,12 GB RAM,,Windows 10 64-bit,30 GB available space,,Intel Core i7-8700 or AMD Ryzen 5 3600,GeForce GTX 1070 Ti or GeForce RTX 3060 or AMD Radeon RX Vega 56,16 GB RAM,,Windows 10 64-bit,30 GB available space,
Aftercharge,Intel® Core™ i3 or AMD Phenom™ X3 8650,"NVIDIA® GeForce® GTX 460, ATI Radeon™ HD 4850, or Intel® HD Graphics 5500",2 GB RAM,Version 11,Windows® Vista/7/ 8/10 64-bit (latest Service Pack),5 GB available space,Broadband Internet connection,,,,,,,
Afterfall: InSanity,"Intel Core 2 Duo 2Ghz, AMD Athlon 64 x2 2Ghz or better","256 MB, DirectX 9.0c i Shader 3.0 (GeForce 8600GT / ATI equivalent or better)",2GB for Windows XP and 3GB for Windows Vista or Windows 7,DirectX 9.0c,Windows XP SP 2 / Windows Vista / Windows 7,,,,,,,,,
AFTERGRINDER,Intel Core i3 1.8 GHz,256 MB NVIDIA GeForce 8600 GTS,1 GB RAM,Version 9.0c,Windows 7 and above,1 GB available space,,,,,,,,
Afterlight,"Intel Core 2 Quad Q6600 @ 2.4 GHz, AMD FX 8120 @ 3.1 GHz","NVIDIA GT 630 / 650m, AMD Radeon HD6570 or equivalent",4 GB RAM,Version 9.0c,Windows 7/8/10 (64-bit OS required),3 GB available space,,"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz","NVIDIA GTX 660, Radeon R9-270",8 GB RAM,Version 11,Windows 8/10 (64-bit OS required),3 GB available space,
Afterparty,Intel Core i3 2.5GHz,Radeon HD 6850 or equivalent,4 GB RAM,Version 11,"Windows 7 SP1, 64-bit",5 GB available space,,Intel Core i5 3.0 GHz,Radeon RX 460 or equivalent,8 GB RAM,Version 11,"Windows 10, 64-bit",5 GB available space,
Against the Storm,Intel i3-4160 or AMD FX-4350,Nvidia GeForce GTX 650 or AMD Radeon HD 7750,4 GB RAM,,Windows 7 64 Bit,5 GB available space,,Intel i5-3570K or AMD FX-9590,Nvidia GeForce GTX 970 or AMD Radeon R9 390X,8 GB RAM,,Windows 10 64 Bit,5 GB available space,
Agatha Christie - Hercule Poirot: The First Cases,2ghz processor,"GeForce GTX 580, DirectX 10-compatible video card",4 GB RAM,Version 10,"Windows 7, Windows 8, Windows 8.1, Windows 10 (64-bit)",,,3ghz processor,GeForce 970 / Radeon R9 380,8 GB RAM,Version 11,"Windows 7, Windows 8, Windows 8.1, Windows 10 (64-bit)",,
Agatha Christie - Hercule Poirot: The London Case,Intel Core i3,Geforce 970,6 GB RAM,Version 11,Windows 10 (64-bit),10 GB available space,,Intel Core i5,Geforce 1080,16 GB RAM,Version 11,Windows 10 (64-bit),10 GB available space,
Agatha Christie - Murder on the Orient Express (2023),Intel Core i3,Geforce 640,6 GB RAM,Version 11,Windows 7 (64 bits),25 GB available space,,Intel i7 (9th gen) (>3GHz),Nvidia GTX 1060 6GB or AMD Radeon RX 580,16 GB RAM,Version 12,Window 10 (64-bit OS required),25 GB available space,
Agatha Christie - The ABC Murders,AMD/Intel dual-core processor running at 2.2 GHz,"ATI/NVIDIA dedicated/integrated or mobile graphic card, with at least 512MB of dedicated VRAM and with at least Shader Model 4.0 support",2048 MB RAM,Version 9.0c,Windows XP/Vista/7/8/10,,,AMD / Intel Dual-Core processor running at 3.0 GHz,ATI/NVIDIA dedicated or mobile graphic card with at least 1GB of dedicated VRAM and with at least Shader Model 4.0 support,3072 MB RAM,Version 9.0c,Windows XP/Vista/7/8/10,,
Agatha Christie: Death on the Nile,800 Mhz or better,64 MB VRAM,128 MB,DirectX: 8.1 or later,Windows 98/ME/2000/XP/Vista,57 MB,,,,,,,,
Agatha Christie: Murder on the Orient Express,1.4 GHz Pentium® 3 Processor,64 MB DirectX® 9 Compatible Video Card,256 MB,DirectX 9,Windows® 2000/XP,1.5 GB,,,,,,,,
Age of Booty,"Intel Pentium 4 1.7 Ghz, Intel Celeron 1.7 Ghz, or AMD Athlon xp 1800+ or better",ATI Radeon 9600 / NVIDIA GeForce FX 5800,512 Mb RAM,DirectX 9.0c November 2007 release,Windows XP sp2 or Vista,400 Mb hard drive space,,"Intel Pentium 4 2.8 Ghz , AMD Athlon XP 3200+ or higher",ATI Radeon 9800 / NVIDIA GeForce 6800,1024 Mb RAM,DirectX 9.0c November 2007 release,Windows XP sp2 or Vista,400 Mb hard drive space,
Age of Conan: Hyborian Adventures,3GHz Pentium IV,"Shader Model 2.0 and 128MB ram, nVidia GeForce 6600",1GB RAM,,Windows Vista/XP,32GB,,Intel Core 2 Duo 2.4 GHz (E6600) or better,NVIDIA GeForce 7900 GTX or better,2GB or more,,Windows Vista/XP,32GB,
Age of Darkness: Final Stand,Intel Core i5-6600 or AMD FX-8350,"Nvidia GeForce GTX 760, 2 GB or AMD Radeon HD 7870, 2 GB",8 GB RAM,,"Windows 8.1, 64-bit",5 GB available space,,Intel Core i5-8400 or AMD Ryzen 5 1500X,"Nvidia GeForce GTX 970, 4 GB or AMD Radeon R9 Fury, 4 GB",8 GB RAM,,"Windows 10, 64-bit",5 GB available space,
Age of Defense,Pentium or AMD 700mhz,Video Card DX9 128mb,512 MB RAM,,Microsoft Windows XP SP3 (32-bit) and newer,200 MB available space,,,,,,,,
Age of Empire Online,"Dual Core, 2Ghz or higher",128 MB Shader 2 supported card or higher,"Win XP SP3/Vista Home Basic – 1GB; Vista Premium, Ultimate/Windows 7 (32 bit) – 1.5GB; Windows 7 (64 bit) – 2.5GB",,Win XP/Vista/7,2.5 GB required for downloads,Broadband internet required,,,,,,,
Age of Empires,Pentium 90 or higher processor,Local SVGA bus video display (with 1 MB VRAM),16 MB RAM,,Microsoft Windows 95 operating system or Windows NT Workstation 4.0 with Service Pack 3,80 MB of available hard disk space 50 MB free disk space for swap file,28.8 Kbps modem for head-to-head play,,,,,,,
Age of Empires II - Age of Kings,Multimedia PC with Pentium 166MHz or higher processor,Super VGA with 2 MB of video memory,32 MB of RAM,,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,200 MB of hard disk space; additional 100 MB of hard disk space for swap file,56.6 Kbps or better modem for online play,,,,,,,
Age of Empires II - Gold Edition,Multimedia PC with Pentium 166MHz or higher processor,Super VGA with 2 MB of video memory,32 MB of RAM,,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,200 MB of hard disk space; additional 100 MB of hard disk space for swap file,56.6 Kbps or better modem for online play,,,,,,,
Age of Empires II - The Conquerors Expansion,Multimedia PC with Pentium 166MHz or higher processor,Super VGA with 2 MB of video memory,"32 MB of Ram for Windows 95, 98, ME, 64 MB for Windows NT 4.0 and Windows 2000",,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,80 MB of available hard disk space (in addition to the original Age of Empires II required disk); additional 100 MB of hard disk space for swap file,56.6 Kbps or better modem for online play,,,,,,,
Age of Empires II HD,1.2GHZ CPU,Direct X 9.0c Capable GPU,1 GB RAM,9.0c,"Windows Vista, 7, 8 Pro+",2 GB HD space,,,,,,,,
Age of Empires II: Definitive Edition,Intel Core 2 Duo or AMD Athlon 64x2 5600+,NVIDIA® GeForce® GT 420 or ATI™ Radeon™ HD 6850 or Intel® HD Graphics 4000 or better with 2 GB VRAM,4 GB RAM,Version 11,Windows 10 64bit,30 GB available space,Broadband Internet connection,2.4 Ghz i5 or greater or AMD equivalent,Nvidia® GTX 650 or AMD HD 5850 or better,8 GB RAM,Version 11,Windows 10 64bit,30 GB available space,Broadband Internet connection
Age of Empires III,Intel Core 2 Duo 2.2 GHz or AMD Athlon 64 X2 2.0 GHz,64 MB NVIDIA GeForce 6800 or ATI Radeon X1300,2 GB RAM,DirectX 9.0c,Windows XP,12 GB HD space,,,,,,,,
Age of Empires III The Asian Dynasties,1.4 GHz equivalent or higher processor,64 MB video card with support for hardware transformation and lighting required,256 MB of system RAM,DirectX 9.0 or later,Microsoft® Windows® XP or higher,2 GB available hard disk space,56K dial-up Internet Access or LAN required for online/multiplayer,,,,,,,
Age of Empires III The WarChiefs,1.4 GHz equivalent or higher processor,64 MB video card with support for hardware transformation and lighting required,256 MB of system RAM,DirectX 9.0 or later,Microsoft® Windows® XP or higher,2 GB available hard disk space,56K dial-up Internet Access or LAN required for online/multiplayer,,,,,,,
Age of Empires III: Definitive Edition,Intel i3-2105 @ 3.1GHz or AMD Phenom II X4 973 with an average CPU Passmark score of 3735 or better,"GeForce GT 430, Radeon HD 5570, or Intel HD 4400 with an average Passmark G3D Mark of 570 or better, 2 GB VRAM",8 GB RAM,Version 11,"Windows 10 version 18362.0 or higher, 64-bit",42 GB available space,Broadband Internet connection,Intel i5-3300 @ 3.0GHz or AMD FX-8350 or equivalent with an average CPU Passmark score of 4100 or better,"GeForce GTX 980 or Radeon R9 Fury or equivalent with an average Passmark G3D Mark of 9500 or better, 4 GB VRAM",16 GB RAM,Version 11,"Windows 10 version 18362.0 or higher, 64-bit",42 GB available space,Broadband Internet connection
Age of Empires IV,Intel Core i5-6300U or AMD Ryzen 5 2400G,Intel HD 520 or AMD Radeon RX Vega 11,8 GB RAM,Version 12,Windows 10 64bit | Windows 11 64bit,50 GB available space,,3.6 GHz 6-core (Intel i5) or AMD Ryzen 5 1600,Nvidia GeForce 970 GPU or AMD Radeon RX 570 GPU with 4GB of VRAM,16 GB RAM,Version 12,Windows 10 64bit | Windows 11 64bit,50 GB available space,
Age of Empires: Definitive Edition,1.8 Ghz+ Dual Core or greater i5 or AMD equivalent,"DirectX 11.0 compatible card with Direct3D Feature Level 11_0 or higher support and 1GB of free memory - Intel: HD 4000 (Ivy Bridge CPU)or better GPU - nVidia: GT 430 or better desktop GPU, or GT 425M or better mobile GPU - AMD: Radeon HD 5500 or better Desktop GPU, or Mobility Radeon 5650 or better mobile GPU",4 GB RAM,Version 11,Windows 10 64-bit,20 GB available space,Broadband Internet connection,2.4 Ghz i5 or greater (4 HW threads),"2 GB, Nvidia GTX 650; AMD HD 5850",16 GB RAM,Version 11,Windows 10 64-bit,20 GB available space,Broadband Internet connection
Age of Giants,Any Modern CPU,Any Modern GPU,1 GB RAM,,Windows XP/Vista/7/8/10,,,,,,,,,
Age of Mythology,PC with 450 MHz equivalent or higher processor,16 MB video card required,128 MB of system RAM,DirectX 8.1,Microsoft® Windows® 98/Me/XP/2000,1.5 GB available hard disk space,56.6 Kbps or better modem for online play,,,,,,,
Age of Mythology: The Titans Expansion,PC with 450 MHz equivalent or higher processor,16 MB video card required,128 MB of system RAM,,Microsoft® Windows® 98/Me/XP/2000,450 MB available hard disk space,56.6 Kbps or better modem for online play,,,,,,,
Age of Pirates: Captain's Blood,,,,,,,,,,,,,,
Age of Pirates: Caribbean Tales,Pentium IV 1.8 GHz or equivalent,GeForce 3 (not MX-series) class videocard with 128 MB RAM*,256 MB RAM,DirectX 9.0c,Windows XP,4 GB uncompressed hard disk space,,Pentium IV 2.5 GHz or equivalent,DirectX 9 GeForce 6600 class videocard or equivalent*,1 GB RAM,DirectX 9.0c,Windows XP,4 GB uncompressed hard disk space,
Age of Space,Intel i5 2.4Ghz (or equivalent),GeForce 770 or better,2048 MB RAM,Version 11,"Windows 7, 64-bit",2500 MB available space,Broadband Internet connection,Intel i7 3.5Ghz (or equivalent),GeForce 970 or better,4096 MB RAM,Version 12,"Windows 10, 64-bit",2500 MB available space,Broadband Internet connection
Age of Wonders 4,Intel® Core™ i5-2500K or AMD® Ryzen™ 5 1600X,Nvidia® GeForce™ GTX 670 (2GB) or AMD® Radeon™ HD 7870 (2GB) or Intel® Arc™ A380 (6GB) or Intel® Iris™ Xe G7 (Tiger Lake) or AMD® Radeon™ Vega 8,8 GB RAM,,Windows® 10 Home 64 Bit,20 GB available space,,Intel® Core™ i7-9700K or AMD® Ryzen™ 5 5600X,Nvidia® GeForce™ GTX 1070 Ti (8GB) or AMD® Radeon™ RX 5700 XT (8GB),16 GB RAM,,Windows® 10 Home 64 Bit or Windows® 11,>20 GB available space,
Age of Wonders II: The Wizard's Throne,Pentium II 300 MHz processor or equivalent,DirectX 8.0 compatible 4MB video card,64MB RAM,DirectX 8.0,Windows 95/98/ME/2000/XP,500MB,,,,,,,,
Age of Wonders III,Intel Core 2 Duo E6600 @ 2.4 Ghz or AMD Athlon 64 X2 5000+ @2.6 Ghz,nVidia 8800 / ATi Radeon HD 3870 with 512MB or Laptop integrated Intel HD 3000 with 3GB system ram,2 GB RAM,9.0c,"Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1",10 GB available space,Broadband Internet connection,Intel Core 2 Quad Q6600 @ 2.4 Ghz or AMD Phenom X4 9900 @ 2.6 Ghz,nVidia Geforce 460 1GB or AMD Radeon HD 6850 1GB,4 GB RAM,9.0c,"Windows Vista, Windows 7, Windows 8, Windows 8.1",10 GB available space,Broadband Internet connection
Age of Wonders: Planetfall,Intel Core i5 (3rd Generation) or AMD FX Series processor (or equivalents),nVidia GTX 650Ti 1GB or AMD Radeon HD 7770 (or equivalents),6 GB RAM,Version 11,"Windows 7 SP1, Windows 8.1 or Windows 10 (64-bit versions)",20 GB available space,Broadband Internet connection,Intel Core i5 (7th or 8th Generation) or AMD Ryzen 5,nVidia GeForce GTX 1060 3GB or AMD Radeon RX 570 4GB (or equivalents),8 GB RAM,Version 11,Windows 10 (64-bit),20 GB available space,Broadband Internet connection
Age of Wonders: Shadow Magic,Pentium II 450 MHz processor or equivalent,DirectX 8.1 compatible 16MB 3D video card,128MB,DirectX 8.1,Windows 98/ME/2000/XP,Hard Drive Space: 900MB,,Pentium II 450 MHz processor or equivalent,DirectX 8.1 compatible 16MB 3D video card,192MB,DirectX 8.1,Windows 98/ME/2000/XP,Hard Drive Space: 900MB,
Age of Wushu,Pentium 4 2.4Ghz or equivalent,"128MB, GeForce6600 or equivalent",1GB,,,10GB,1Mb,,,,,,,
Ageless,Intel i3-2100 @ 3GHz,GTX 650 1GB VRAM,4 GB RAM,Version 11,Windows 7 64-bit,2 GB available space,,Intel Core i5 2300,GTX 750ti 2GB VRAM,4 GB RAM,Version 11,Windows 10 64-bit,4 GB available space,
Agenda,"SSE2 instruction set support, generally everything made since 2004 should work",DX9 (shader model 2.0) capabilities; generally everything made since 2004 should work,2 GB RAM,Version 9.0c,Windows XP+,170 MB available space,,,,,,,,
Agents of Mayhem,Intel Core i3-3240 or above / or AMD equivalent,Nvidia Geforce 750Ti or above / or AMD equivalent,8192 MB RAM,,Windows 7/8/10 64bit,38 GB available space,,Intel Core i5-4670K or above / or AMD equivalent,GeForce GTX 1060 or above / or AMD equivalent,12288 MB RAM,,Windows 7/8/10 64bit,38 GB available space,
AGEOD's American Civil War,Pentium 4 1600 MHz/AMD Athlon XP 1600+,"nVidia GeForce 4/ATI Radeon 8500, 64MB",512 MB,DirectX 9.0c,Windows® 2000/XP/Vista,1 GB,,Pentium 4 2000 MHz/AMD Athlon 2000+,"nVidia GeForce FX 5700/ATI Radeon 9600, 128 MB",1 GB,DirectX 9.0c,Windows® 2000/XP/Vista,1 GB,
Agon: The Lost Sword of Toledo,Pentium 4 @ 1.6 GHz or Equivalent,64 MB (nVidia GeForce 3 or later),512 MB,DirectX 9.0c,Windows XP/Vista,2 GB Free,,Pentium 4 @ 2 GHz or Equivalent,128 MB (nVidia GeForce 6600),1 GB,DirectX 9.0c,Windows XP/Vista,2 GB Free,
Agon: The Mysterious Codex,800 Mhz Pentium(R) III or equivalent processor,32 MB DirectX(R) 8.0 Compatible 3D (Geforce 2 or equal),128 MB,DirectX 8.0,Windows(R) 98/ME/2000/XP,,,,,,,,,
Agony,"Intel Core i3 3.2 GHz, AMD Phenom II X4 955 - 4 Core, 3.2 GHz",Radeon R9 280 or Nvidia GeForce GTX 660,8 GB RAM,Version 11,"Windows 7 / 8 / 10, 64-bit",17 GB available space,,"Intel Core i5-8400, AMD Ryzen 5 1600",Radeon RX 580 or Nvidia GeForce GTX 1060 6GB,16 GB RAM,Version 11,"Windows 7 / 8 /10, 64-bit",17 GB available space,
Agony UNRATED,"Intel Core i3 3.2 GHz, AMD Phenom II X4 955 - 4 Core, 3.2 GHz",Radeon R9 280 or Nvidia GeForce GTX 660,8 GB RAM,Version 11,"Windows 7 / 8 / 10, 64-bit",17 GB available space,,"Intel Core i5-8400, AMD Ryzen 5 1600",Radeon RX 580 or Nvidia GeForce GTX 1060 6GB,16 GB RAM,Version 11,"Windows 7 / 8 /10, 64-bit",17 GB available space,
Agony: Lords of Hell,"Intel Core i3 3.2 GHz, AMD Phenom II X4 955 - 4 Core, 3.2 GHz",Radeon R9 280 or Nvidia GeForce GTX 660,8 GB RAM,Version 11,Windows 7 / 8 / 10 (64-bit),15 GB available space,,"Intel Core i5-8400, AMD Ryzen 5 1600",Radeon RX 580 or Nvidia GeForce GTX 1060 6GB,16 GB RAM,Version 11,Windows 7 / 8 /10 (64-bit),17 GB available space,
Agricultural Simulator 2011,Intel or AMD 2.0 GHz with SSE2 support or better,Geforce® ATI Radeon® 256 MB or better,1 GB,DirectX 9.0c or higher,Windows XP / Vista / 7,750 MB,Internet connection required for multiplayer,,,,,,,
Ahros: One Warrior Chronicle,Intel® i5-4590 / AMD FX-8350 equivalent or greater,NVIDIA® GeForce® GTX 970 or equivalent,8 GB RAM,,Windows 10 64 bit,8 GB available space,,,,,,,,
AI War 2,Dual Core 64bit CPU (2.2+ GHz Dual Core CPU or better),"NVIDIA GTX 510+, Radeon HD5900+, or Intel HD4000+",4 GB RAM,Version 11,"Windows 7, 8.1, or 10 64bit",4 GB available space,,Any Quad Core or 3.0+ GHz Dual Core CPU,NVIDIA GTX 660 2GB / AMD HD 7870 2GB,6 GB RAM,Version 11,"(Windows 7, 8.1, or 10 64bit)",4 GB available space,
AI War: Fleet Command,1.6Ghz CPU,"Graphics card must support 1024x1024 textures (most 32MB and up graphics cards do), 1024x768 or greater desktop screen resolution (32 bit color recommended)",512 MB,DirectX® 9.0c,"Windows XP, Windows Vista, Windows 7",300MB,,"2.4 Ghz recommended, Dual Core strongly recommended for Host)","Graphics card must support 1024x1024 textures (most 32MB and up graphics cards do), 1024x768 or greater desktop screen resolution (32 bit color recommended)",1 GB,DirectX® 9.0c,"Windows XP, Windows Vista, Windows 7",300MB,
AI War: The Zenith Remnant,1.6Ghz CPU,"Graphics card must support 1024x1024 textures (most 32MB and up graphics cards do), 1024x768 or greater desktop screen resolution",512 MB,DirectX® 9.0c,"Windows XP, Windows Vista, Windows 7",300MB,,"2.4 Ghz recommended, Dual Core strongly recommended for Host","Graphics card must support 1024x1024 textures (most 32MB and up graphics cards do), 1024x768 or greater desktop screen resolution (32 bit color recommended)",1 GB,DirectX® 9.0c,"Windows XP, Windows Vista, Windows 7",300MB,
AION,Intel Pentium4 2.8Ghz / AMD Sempron 2800 or higher,NVIDIA GeForce 6600 / AMD Radeon X1550 or higher,1GB RAM,Version 9.0c,"Windows Vista, 7",,,"Intel Core 2 Duo, Pentium Dual-Core 2.5 GHz / AMD Athlon64 X2 Dual-Core 2.5GHz or higher",NVIDIA GeForce 8600GT / AMD Radeon 4550 or higher,2GB RAM,Version 9.0c,"Windows Vista, 7, 8, 10",,
AIPD - Artificial Intelligence Police Department,Intel i5 1.8 GHz,Intel HD4000,4 GB RAM,Version 10,Win7 32-Bit,300 MB available space,,,,,,,,
Air Conflicts: Vietnam,Intel Duo 2.0GHz or compatible,DirectX 9.0 compatible graphics card (Nvidia GeForce 8800GTX+ or compatible with Shader Model 3.0),1 GB RAM,9.0c,Windows XP/7/8/Vista,5 GB available space,Broadband Internet connection,Intel i5 2.5GHz or compatible,DirectX 9.0 compatible graphics card (Nvidia GeForce GTX 260+ or compatible with Shader Model 3.0),2 GB RAM,9.0c,Windows XP/7/8/Vista,5 GB available space,Broadband Internet connection
